Title,categoria,prakarana_label,nom_s,nom_d,nom_p,voc_s,voc_d,voc_p,acc_s,acc_d,acc_p,ins_s,ins_d,ins_p,dat_s,dat_d,dat_p,abl_s,abl_d,abl_p,gen_s,gen_d,gen_p,loc_s,loc_d,loc_p
इकारान्तः स्त्रीलिङ्गः ‘मति’ शब्दः (Mente),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,मतिः,मती,मतयः,हे मते,हे मती,हे मतयः,मतिम्,मती,मतीः,मत्या,मतिभ्याम्,मतिभिः,मत्यै/मतये,मतिभ्याम्,मतिभ्यः,मत्याः/मतेः,मतिभ्याम्,मतिभ्यः,मत्याः/मतेः,मत्योः,मतीनाम्,मत्याम्/मतौ,मत्योः,मतिषु
ईकारान्तः स्त्रीलिङ्गः ‘नदी’ शब्दः (Rio),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,नदी,नद्यौ,नद्यः,हे नदि,हे नद्यौ,हे नद्यः,नदीम्,नद्यौ,नदीः,नद्या,नदीभ्याम्,नदीभिः,नद्यै,नदीभ्याम्,नदीभ्यः,नद्याः,नदीभ्याम्,नदीभ्यः,नद्याः,नद्योः,नदीनाम्,नद्याम्,नद्योः,नदीषु
उकारान्तः स्त्रीलिङ्गः ‘धेनु’ शब्दः (Vaca),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,धेनुः,धेनू,धेनवः,हे धेनो,हे धेनू,हे धेनवः,धेनुम्,धेनू,धेनूः,धेन्वा,धेनुभ्याम्,धेनुभिः,धेन्वै/धेनवे,धेनुभ्याम्,धेनुभ्यः,धेन्वाः/धेनोः,धेनुभ्याम्,धेनुभ्यः,धेन्वाः/धेनोः,धेन्वोः,धेनूनाम्,धेन्वाम्/धेनौ,धेन्वोः,धेनुषु
ऊकारान्तः स्त्रीलिङ्गः ‘वधू’ शब्दः (Noiva),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,वधूः,वध्वौ,वध्वः,हे वधु,हे वध्वौ,हे वध्वः,वधूम्,वध्वौ,वधूः,वध्वा,वधूभ्याम्,वधूभिः,वध्वै,वधूभ्याम्,वधूभ्यः,वध्वाः,वधूभ्याम्,वधूभ्यः,वध्वाः,वध्वोः,वधूनाम्,वध्वाम्,वध्वोः,वधूषु
ऋकारान्तः स्त्रीलिङ्गः ‘मातृ’ शब्दः (Mãe),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,माता,मातरौ,मातरः,हे मातः,हे मातरौ,हे मातरः,मातरम्,मातरौ,मातॄः,मात्रा,मातृभ्याम्,मातृभिः,मात्रे,मातृभ्याम्,मातृभ्यः,मातुः,मातृभ्याम्,मातृभ्यः,मातुः,मात्रोः,मातॄणाम्,मातरि,मात्रोः,मातृषु
तकारान्तः पुंलिङ्गः ‘मरुत्’ शब्दः (Vento),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,मरुत्,मरुतौ,मरुतः,हे मरुत्,हे मरुतौ,हे मरुतः,मरुतम्,मरुतौ,मरुतः,मरुता,मरुद्भ्याम्,मरुद्भिः,मरुते,मरुद्भ्याम्,मरुद्भ्यः,मरुतः,मरुद्भ्याम्,मरुद्भ्यः,मरुतः,मरुतोः,मरुताम्,मरुति,मरुतोः,मरुत्सु
,सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,अङ्गिराः,अङ्गिरसौ,अङ्गिरसः,हे अङ्गिरः,हे अङ्गिरसौ,हे अङ्गिरसः,अङ्गिरसम्,अङ्गिरसौ,अङ्गिरसः,अङ्गिरसा,अङ्गिरोभ्याम्,अङ्गिरोभिः,अङ्गिरसे,अङ्गिरोभ्याम्,अङ्गिरोभ्यः,अङ्गिरसः,अङ्गिरोभ्याम्,अङ्गिरोभ्यः,अङ्गिरसः,अङ्गिरसोः,अङ्गिरसाम्,अङ्गिरसि,अङ्गिरसोः,अङ्गिरस्सु
नकारान्तः पुंलिङ्गः ‘राजन्’ शब्दः (Rei),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,राजा,राजानौ,राजानः,हे राजन्,हे राजानौ,हे राजानः,राजानम्,राजानौ,राज्ञः,राज्ञा,राजभ्याम्,राजभिः,राज्ञे,राजभ्याम्,राजभ्यः,राज्ञः,राजभ्याम्,राजभ्यः,राज्ञः,राज्ञोः,राज्ञाम्,राज्ञि/राजनि,राज्ञोः,राजसु
 नकारान्तः पुंलिङ्गः ‘आत्मन्’ शब्दः (Ser),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,आत्मा,आत्मानौ,आत्मानः,हे आत्मन्,हे आत्मानौ,हे आत्मानः,आत्मानम्,आत्मानौ,आत्मनः,आत्मना,आत्मभ्याम्,आत्मभिः,आत्मने,आत्मभ्याम्,आत्मभ्यः,आत्मनः,आत्मभ्याम्,आत्मभ्यः,आत्मनः,आत्मनोः,आत्मनाम्,आत्मनि,आत्मनोः,आत्मसु
तकारान्तः पुंलिङ्गः ‘भगवत्’ शब्दः (Deus),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,भगवान्,भगवन्तौ,भगवन्तः,हे भगवन्,हे भगवन्तौ,हे भगवन्तः,भगवन्तम्,भगवन्तौ,भगवतः,भगवता,भगवद्भ्याम्,भगवद्भिः,भगवते,भगवद्भ्याम्,भगवद्भ्यः,भगवतः,भगवद्भ्याम्,भगवद्भ्यः,भगवतः,भगवतोः,भगवताम्,भगवति,भगवतोः,भगवत्सु
,सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,बली,बलिनौ,बलिनः,बलिन्,बलिनौ,बलिनः,बलिनम्,बलिनौ,बलिनः,बलिना,बलिभ्याम्,बलिभिः,बलिने,बलिभ्याम्,बलिभ्यः,बलिनः,बलिभ्याम्,बलिभ्यः,बलिनः,बलिनोः,बलिनाम्,बलिनि,बलिनोः,बलिषु
तकारान्तः नपुंसकलिङ्गः ‘जगत्’ शब्दः (Mundo),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,जगत्,जगती,जगन्ति,हे जगत्,हे जगती,हे जगन्ति,जगत्,जगती,जगन्ति,जगता,जगद्भ्याम्,जगद्भिः,जगते,जगद्भ्याम्,जगद्भ्यः,जगतः,जगद्भ्याम्,जगद्भ्यः,जगतः,जगतोः,जगताम्,जगति,जगतोः,जगत्सु
सकारान्तः नपुंसकलिङ्गः ‘मनस्’ शब्दः (Mente),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,मनः,मनसी,मनांसि,हे मनः,हे मनसी,हे मनांसि,मनः,मनसी,मनांसि,मनसा,मनोभ्याम्,मनोभिः,मनसे,मनोभ्याम्,मनोभ्यः,मनसः,मनोभ्याम्,मनोभ्यः,मनसः,मनसोः,मनसाम्,मनसि,मनसोः,मनस्सु
नकारान्तः नपुंसकलिङ्गः ‘नामन्’ शब्दः (Nome),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,नाम,नाम्नी/नामनी,नामानि,हे नामन्/नाम,हे नाम्नी/नामनी,हे नामानि,नाम,नाम्नी/नामनी,नामानि,नाम्ना,नामभ्याम्,नामभिः,नाम्ने,नामभ्याम्,नामभ्यः,नाम्नः,नामभ्याम्,नामभ्यः,नाम्नः,नाम्नोः,नाम्नाम्,नाम्नि/नामनि,नाम्नोः,नामसु
नकारान्तः नपुंसकलिङ्गः ‘कर्मन्’ शब्दः (Ação),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,कर्म,कर्मणी,कर्माणि,हे कर्मन्/कर्म,हे कर्मणी,हे कर्माणि,कर्म,कर्मणी,कर्माणि,कर्मणा,कर्मभ्याम्,कर्मभिः,कर्मणे,कर्मभ्याम्,कर्मभ्यः,कर्मणः,कर्मभ्याम्,कर्मभ्यः,कर्मणः,कर्मणोः,कर्मणाम्,कर्मणि,कर्मणोः,कर्मसु
,सुबन्तम्,,बलि,बलिनी,बलीनि,बलिन् /बलि,बलिनी,बलीनि,बलि,बलिनी,बलीनि,बलिना,बलिभ्याम्,बलिभिः,बलिने,बलिभ्याम्,बलिभ्यः,बलिनः,बलिभ्याम्,बलिभ्यः,बलिनः,बलिनोः,बलिनाम्,बलिनि,बलिनोः,बलिषु
दकारान्तः पुंलिङ्गः ‘तद्’ शब्दः,सर्वनाम,सर्वनामशब्द प्रकरणम्,सः,तौ,ते,–,–,–,तम्,तौ,तान्,तेन,ताभ्याम्,तैः,तस्मै,ताभ्याम्,तेभ्यः,तस्मात्,ताभ्याम्,तेभ्यः,तस्य,तयोः,तेषाम्,तस्मिन्,तयोः,तेषु
" दकारान्तः नपुंसकलिङ्गः ‘तद्’ शब्दः (Ele, aquilo, isso)",सर्वनाम,सर्वनामशब्द प्रकरणम्,तत्,ते,तानि,–,–,–,तत्,ते,तानि,तेन,ताभ्याम्,तैः,तस्मै,ताभ्याम्,तेभ्यः,तस्मात्,ताभ्याम्,तेभ्यः,तस्य,तयोः,तेषाम्,तस्मिन्,तयोः,तेषु
" दकारान्तः स्त्रीलिङ्गः ‘तद्’ शब्दः (Ela, aquela, essa)",सर्वनाम,सर्वनामशब्द प्रकरणम्,सा,ते,ताः,–,–,–,ताम्,ते,ताः,तया,ताभ्याम्,ताभिः,तस्यै,ताभ्याम्,ताभ्यः,तस्याः,ताभ्याम्,ताभ्यः,तस्याः,तयोः,तासाम्,तस्याम्,तयोः,तासु
मकारान्तः पुंलिङ्गः ‘इदम्’ शब्दः,सर्वनाम,सर्वनामशब्द प्रकरणम्,अयम्,इमौ,इमे,–,–,–,इमम्/एनम्,इमौ/एनौ,इमान्/एनान्,अनेन/एनेन,आभ्याम्,एभिः,अस्मै,आभ्याम्,एभ्यः,अस्मात्,आभ्याम्,एभ्यः,अस्य,अनयोः/एनयोः,एषाम्,अस्मिन्,अनयोः/एनयोः,एषु
मकारान्तः नपुंसकलिङ्गः ‘इदम्’ शब्दः (Isto),सर्वनाम,सर्वनामशब्द प्रकरणम्,इदम्,इमे,इमानि,–,–,–,इदम्/एनत्,इमे/एने,इमानि/एनानि,अनेन/एनेन,आभ्याम्,एभिः,अस्मै,आभ्याम्,एभ्यः,अस्मात्,आभ्याम्,एभ्यः,अस्य,अनयोः/एनयोः,एषाम्,अस्मिन्,अनयोः/एनयोः,एषु
मकारान्तः स्त्रीलिङ्गः ‘इदम्’ शब्दः (Esta),सर्वनाम,सर्वनामशब्द प्रकरणम्,इयम्,इमे,इमाः,–,–,–,इमाम्/एनाम्,इमे/एने,इमाः/एनाः,अनया/एनया,आभ्याम्,आभिः,अस्यै,आभ्याम्,आभ्यः,अस्याः,आभ्याम्,आभ्यः,अस्याः,अनयोः/एनयोः,आसाम्,अस्याम्,अनयोः/एनयोः,आसु
सकारान्तः पुंलिङ्गः ‘अदस्’ शब्दः (Este),सर्वनाम,सर्वनामशब्द प्रकरणम्,असौ,अमू,अमी,–,–,–,अमुम्,अमू,अमून्,अमुना,अमूभ्याम्,अमीभिः,अमुष्मै,अमूभ्याम्,अमीभ्यः,अमुष्मात्,अमूभ्याम्,अमीभ्यः,अमुष्य,अमुयोः,अमीषाम्,अमुष्मिन्,अमुयोः,अमीषु
सकारान्तः नपुंसकलिङ्गः ‘अदस्’ शब्दः (Isto),सर्वनाम,सर्वनामशब्द प्रकरणम्,अदः,अमू,अमूनि,–,–,–,अदः,अमू,अमूनि,अमुना,अमूभ्याम्,अमीभिः,अमुष्मै,अमूभ्याम्,अमीभ्यः,अमुष्मात्,अमूभ्याम्,अमीभ्यः,अमुष्य,अमुयोः,अमीषाम्,अमुष्मिन्,अमुयोः,अमीषु
सकारान्तः स्त्रीलिङ्गः ‘अदस्’ शब्दः (Esta),सर्वनाम,सर्वनामशब्द प्रकरणम्,असौ,अमू,अमूः,–,–,–,अमूम्,अमू,अमूः,अमुया,अमूभ्याम्,अमूभिः,अमुष्यै,अमूभ्याम्,अमूभ्यः,अमुष्याः,अमूभ्याम्,अमूभ्यः,अमुष्याः,अमुयोः,अमूषाम्,अमुष्याम्,अमुयोः,अमूषु
दकारान्तः पुंलिङ्गः ‘एतद्’ शब्दः (Este),सर्वनाम,सर्वनामशब्द प्रकरणम्,एषः,एतौ,एते,–,–,–,एतम्,एतौ,एतान्,एतेन,एताभ्याम्,एतैः,एतस्मै,एताभ्याम्,एतेभ्यः,एतस्मात्,एताभ्याम्,एतेभ्यः,एतस्य,एतयोः,एतेषाम्,एतस्मिन्,एतयोः,एतेषु
दकारान्तः नपुंसकलिङ्गः ‘एतद्’ शब्दः (Isto),सर्वनाम,सर्वनामशब्द प्रकरणम्,एतत्,एते,एतानि,–,–,–,एतत्,एते,एतानि,एतेन,एताभ्याम्,एतैः,एतस्मै,एताभ्याम्,एतेभ्यः,एतस्मात्,एताभ्याम्,एतेभ्यः,एतस्य,एतयोः,एतेषाम्,एतस्मिन्,एतयोः,एतेषु
दकारान्तः स्त्रीलिङ्गः ‘एतद्’ शब्दः (Esta),सर्वनाम,सर्वनामशब्द प्रकरणम्,एषा,एते,एताः,–,–,–,एताम्,एते,एताः,एतया,एताभ्याम्,एताभिः,एतस्यै,एताभ्याम्,एताभ्यः,एतस्याः,एताभ्याम्,एताभ्यः,एतस्याः,एतयोः,एतासाम्,एतस्याम्,एतयोः,एतासु
दकारान्तः ‘अस्मद्’ शब्दः त्रिषु लिङ्गेषु समानरूपः (Eu),सर्वनाम,सर्वनामशब्द प्रकरणम्,अहम्,आवाम्,वयम्,–,–,–,माम्/मा,आवाम्/नौ,अस्मान्/नः,मया,आवाभ्याम्,अस्माभिः,मह्यम्/मे,आवाभ्याम्/नौ,अस्मभ्यम्/नः,मत्,आवाभ्याम्,अस्मत्तः/अस्मत्,मम/मे,आवयोः/नौ,अस्माकम्/नः,मयि,आवयोः,अस्मासु
दकारान्तः ‘युष्मद्’ शब्दः त्रिषु लिङ्गेषु समानरूपः (Você),सर्वनाम,सर्वनामशब्द प्रकरणम्,त्वम्,युवाम्,यूयम्,–,–,–,त्वाम्/त्वा,युवाम्/वाम्,युष्मान्/वः,त्वया,युवाभ्याम्,युष्माभिः,तुभ्यम्/ते,युवाभ्याम्/वाम्,युष्मभ्यम्/वः,त्वत्,युवाभ्याम्,युष्मत्,तव/ते,युवयोः/वाम्,युष्माकम्/वः,त्वयि,युवयोः,युष्मासु
