धातु,गण,पद,तिङन्तं लट्,Portugués,Español,Inglés,लङ् / Pasado Imperfecto,लिङ् / Potencial,लोट् / Imperativo,लिट् / Pasado Perfecto,क्त्वा / Gerundio,तुमुन् / Infinitivo,क्त / PPP,ITRANS,IATS,Harvard-Kyoto
√कॢप्,1,A,कल्पते,Estar em forma (+4°C),Estar en forma (+4°c),To be fit (+4°C),अकल्पत,कल्पेत,कल्पताम्,चकल्पे,कल्पित्वा,कल्पितुम्,कल्पित,kalpate,kalpate,kalpate
√क्रीड्,1,P,क्रीडति,Jogar,Jugar,To play,अक्रीडत्,क्रीडेत्,क्रीडतु,चक्रीड,क्रीडित्वा,क्रीडितुम्,क्रीडित,krIDati,krīḍati,krIDati
√क्षम्,4,P,क्षाम्यति,Perdoar,Perdonar,To forgive,अक्षाम्यत्,क्षाम्येत्,क्षाम्यतु,चक्षाम्य,क्षाम्यित्वा,क्षाम्यितुम्,क्षमित,kShAmyati,kṣāmyati,kSAmyati
√क्षल्,10,U,क्षालयति,Lavar,Lavar,To wash,अक्षालयत्,क्षालयेत्,क्षालयतु,चक्षालय,क्षालयित्वा,क्षालयितुम्,क्षालित,kShAlayati,kṣālayati,kSAlayati
√क्षिप्,4,P,क्षिपति,Jogar,Arrojar,To throw,अक्षिपत्,क्षिपेत्,क्षिपतु,चक्षिप,क्षिपित्वा,क्षिपितुम्,क्षिप्त,kShipati,kṣipati,kSipati
√खण्ड्,10,P,खण्डयति,Fender,Partir,To split,अखण्डयत्,खण्डयेत्,खण्डयतु,चखण्डय,खण्डयित्वा,खण्डयितुम्,खण्डित,khaNDayati,khaṇḍayati,khaNDayati
√खन्,1,U,खनति,Cavar,Cavar,To dig,अखनत्,खन्येत्,खन्यताम्,चख्ने,खनित्वा,खनितुम्,खनित,khanati,khanati,khanati
√खाद्,1,P,खादति,Comer,Comer,To eat,अखादत्,खादेत्,खादतु,चखाद,खादित्वा,खादितुम्,खादित,khAdati,khādati,khAdati
√गण्,10,U,गणयति,Dizer,Decir,To say,अगणयत्,गणयेत्,गणयतु,जगणयौ,गणयित्वा,गणयितुम्,गणित,gaNayati,gaṇayati,gaNayati
√गम् ,1,P,गच्छति,Ir,Ir,To go,अगच्छत्,गच्छेत्,गच्छतु,जगाम,गत्वा,गन्तुम्,गत,gachChati,gacchati,gacchati
√गाह्,1,A,गाहते,Mergulhando,Zambullirse,To dive,अगाहित,गाहेत,गाहिताम्,जगाहे,गाहित्वा,गाहितुम्,गाहित,gAhate,gāhate,gAhate
√गुह्,1,U,गूहति,Escondendo,Ocultar,To hide,अगूहत्,गूहेत्,गूहतु,जुगूह,गूहित्वा,गूहितुम्,गूढ,gUhati,gūhati,gUhati
√गै,1,P,गायति,Cantar,Cantar,To sing,अगायत्,गायेत्,गायतु,जगौ,गायतित्वा / गात्वा,गातुम्,गीत,gAyati,gāyati,gAyati
√ग्रह्,9,U,गृह्यते,"Pegar, agarrar","Atrapar, Apoderarse","To catch, to seize",अगृह्यत,गृह्येत,गृह्यताम्,जग्रहे,गृह्यित्वा,गृह्यितुम्,गृहीत,gRRihyate,gṛhyate,gRhyate
√घुष्,10,U,घोषयति,Proclamar,Proclamar,To proclaim,अघोषयत्,घोषयेत्,घोषयतु,जघोषयौ,घोषयित्वा,घोषयितुम्,घोषित,ghoShayati,ghoṣayati,ghoSayati
√घ्रा,1,P,जिघ्रति,Cheirar,Oler,To smell,अजिघ्रत्,जिघ्र्यात्,जिघ्रतु,जग्रौ,जिघ्रित्वा,जिघ्रितुम्,घ्रात,jighrati,jighrati,jighrati
√चर्,1,P,चरति,Mover-se,Mover,To move,अचरत्,चरेत्,चरतु,चकार,चरित्वा,चरितुम्,चरित,charati,carati,carati
√चल्,1,P,चलति,Mover-se (+4°C),Moversse),To move (+4°C),अचलत्,चलेत्,चलतु,चचाल,चलित्वा,चलितुम्,चलित,chalati,calati,calati
√चिन्त्,10,U,चिन्तयति,Pensar,Pensar,To think,अचिन्तयत्,चिन्तयेत्,चिन्तयतु,चिचिन्तयौ,चिन्तयित्वा,चिन्तयितुम्,चिन्तित,chintayati,cintayati,cintayati
√चुर्,10,U,चोरयति,Roubar,Robar,To steal,अचोरयत्,चोरयेत्,चोरयतु,चचोरयौ,चोरयित्वा,चोरयितुम्,चोरित,chorayati,corayati,corayati
√छद्,10,U,छादयति,Cobrir,Cubrir,To cover,अछादयत्,छादयेत्,छादयतु,चछादयौ,छादयित्वा,छादयितुम्,छन्न,ChAdayati,chādayati,chAdayati
√जन्,4,A,जायते,Nascer,Nacer,To be born,अजायत,जायेत,जायताम्,जज्ञे,जात्वा,जातुम्,जात,jAyate,jāyate,jAyate
√जि,1,P,जयति,Triunfar; Vencer; Conquistar,Triunfar; Vencer; Conquistar,To triumph; To overcome; Conquer,अजयत्,जयेते,जयतु,जिजय,जित्वा,जेतुम् / जयितुम्,जित,jayati,jayati,jayati
√जीव्,1,P,जीवति,Viver,Vivir,Live,अजिवत्,जीवेत्,जीवतु,जिजीव,जीवित्वा,जीवितुम्,जीवित,jIvati,jīvati,jIvati
√डी,4,A,डीयते,Voar,Volar,Fly,अडीयत,डीयेत,डीयताम्,दिडे,डीयित्वा,डीयितुम्,डीत,DIyate,ḍīyate,DIyate
√तड्,10,U,ताडयति,Vencer,Ganar,Win,अताडयत्,ताडयेत्,ताडयतु,तताडयौ,ताडयित्वा,ताडयितुम्,ताडित,tADayati,tāḍayati,tADayati
√तुद्,6,U,तुदति,Atacar,Golpear,Strike,अतुदत्,तुदेत्,तुदतु,तुतोद,तुत्त्वा,तोत्तुम्,तुन्न,tudati,tudati,tudati
√तुल्,10,U,तोलयति,Arrepender-se,Lamentar,Regret,अतोलयत्,तोलयेत्,तोलयतु,तुतोलयौ,तोलयित्वा,तोलयितुम्,तोलित,tolayati,tolayati,tolayati
√तुष्,4,P,तुष्यति,"Ficar satisfeito ou satisfeito, ser feliz ou encantado com algo (geralmente com instruções)","Estar contento o satisfecho, estar contento o encantado con algo generalmente con instr.)","Be pleased or satisfied, be happy or delighted with something (usually with instr.)",अतुष्यत्,तुष्येत्,तुष्यतु,तुतोष,तुष्ट्वा,तोष्टुम्,तुष्ट,tuShyati,tuṣyati,tuSyati
√त्यज्,1,P,त्यजति,Abandonar,Abandonar,Abandon,अत्यजत्,त्यजेत्,त्यजतु,तत्याज,त्यक्त्वा,त्यजितुम् / त्यक्तुम्,त्यक्त,tyajati,tyajati,tyajati
√दण्ड्,10,U,दण्डयति,"Punir, repreender","Castigar, reprender","Punish, reprimand",अदण्डयत्,दण्डयेत्,दण्डयतु,ददण्डयौ,दण्डयित्वा,दण्डयितुम्,दण्डित,daNDayati,daṇḍayati,daNDayati
√दंश्,1,P,दंशति,Morder,Morder,Bite,अदंशत्,दंशेत्,दंशतु,ददंश,दंशित्वा,दंशितुम्,दष्ट,daMshati,daṃśati,daMzati
√दह्,1,P,दहति,Queimar,Quemar,Burn,अदहत्,दहेत्,दहतु,ददाह,दग्ध्वा,दहितुम् / दग्धुम्,दग्ध,dahati,dahati,dahati
√दा,3,U,ददाति,"Dar, conceder, conceder, oferecer, ceder, transmitir, apresentar","Dar, conceder, otorgar, ofrecer, ceder, impartir, presentar","Give, grant, bestow, offer, yield, impart, present",अददत्,दद्यात्,ददातु,ददौ,दत्त्वा,दातुम्,दत्त,dadAti,dadāti,dadAti
√दा,1,P,यच्छति,"Dar, conceder, conceder, oferecer","Dar, conceder, otorgar, ofrecer","Give, concede, bestow, offer",अयच्छत्,यच्छेत्,यच्छतु,ययाम,यत्वा,यमितुम् / यन्तुम्,यत,yachChati,yacchati,yacchati
√दिव्,4,P,दीव्यति,Jogar,Jugar,Play,अदीव्यत्,दीव्येत्,दीव्यतु,दिद्यिव,दीव्यित्वा,दीव्यितुम्,दीवित,dIvyati,dīvyati,dIvyati
√दिश्,6,U,दिशति / दिशते,"Apontar, mostrar, exibir","Señalar, mostrar, exhibir","Point, show, exhibit",अदिशत्,दिशेत्,दिशतु,दिदेश,दिष्ट्वा,देष्टुम्,दिष्ट,dishati / dishate,diśati / diśate,dizati / dizate
√दृश्,1,P,पश्यति,"Ver, olhar","Ver, mirar","See, look",अपश्यत्,पश्येत्,पश्यतु,ददर्श,दृष्ट्वा,द्रष्टुम्,दृष्ट,pashyati,paśyati,pazyati
√द्रु,1,P,द्रवति,Fluir,Fluir,Flow,अद्रवत्,द्रवेत्,द्रवतु,दुद्राव,द्रुत्वा,द्रोतुम्,द्रुत,dravati,dravati,dravati
√धाव्,1,P,धावति,Correr,Correr,Run,अधावत्,धावेत्,धावतु,दधाव,धाव्त्वा / धावित्वा,धावितुम्,धावित,dhAvati,dhāvati,dhAvati
√धृ,10,U,धारयति,Deve,Deber,Must,अधारयत्,धारयेत्,धारयतु,दधारयौ,धारयित्वा,धारयितुम्,धृत,dhArayati,dhārayati,dhArayati
√ध्मा,1,P,धमति,Soprar,Soplar,Blow,अधमत्,धमेत्,धमतु,दध्मौ,धमित्वा,धमितुम्,ध्मात,dhamati,dhamati,dhamati
√नम्,1,P,नमति,Cumprimentar,Saludar,Greet,अनमत्,नमेत्,नमतु,ननाम,नत्वा,नमितुम्,नत,namati,namati,namati
√नश्,4,P,नश्यति,Perecer,Perecer,Perish,अनश्यत्,नश्येत्,नश्यतु,ननश,नश्यित्वा,नश्यितुम्,नष्ट,nashyati,naśyati,nazyati
√निन्द्,1,P,निन्दति,"Culpar, condenar","Culpar, condenar","Blame, condemn",अनिन्दत्,निन्देत्,निन्दतु,निनिन्द,निन्दित्वा,निन्दितुम्,निन्दित,nindati,nindati,nindati
√नी,1,U,नयति / नयते,Liderar,Liderar,Lead,अनयत्,नयेत्,नयतु,निनाय,नीयत्वा,नेतुम्,नीत,nayati / nayate,nayati / nayate,nayati / nayate
√नृत्,4,P,नृत्यति,"Dançar, mover-se","Bailar, moverse","Dance, move",अनृत्यत्,नृत्येत्,नृत्यतु,ननर्त,नृत्त्वा,नर्त्तुम् / नर्तितुम्,नृत्त,nRRityati,nṛtyati,nRtyati
√पच्,1,U,पचति / पचते,Cozinhar,Cocinar,Cook,अपचत्,पचेत्,पचतु,पपाच,पक्त्वा,पक्तुम्,पक्त,pachati / pachate,pacati / pacate,pacati / pacate
√पठ्,1,P,पठति,Recitar,Recitar,Recite,अपठत्,पठेत्,पठतु,पपाठ,पठित्वा,पठितुम्,पठित,paThati,paṭhati,paThati
√पत्,1,P,पतति,Cair,Caer,Fall,अपतत्,पतेत्,पततु,पपात,पतित्वा,पतितुम्,पतित,patati,patati,patati
√पद्,4,A,पद्यते,"Ir, obter","Ir, obtener","Go, obtain",अपद्यत,पद्येत,पद्यताम्,पपादे,पदित्वा,पदितुम्,पतित,padyate,padyate,padyate
√पा,1,P,पिबति,Beber,Beber,Drink,अपिबत्,पिबेत्,पिबतु,पपौ,पीत्वा,पीतुम्,पीत,pibati,pibati,pibati
√पाल्,10,U,पालयति,Proteger,Proteger,Protect,अपालयत्,पालयेत्,पालयतु,पपालयौ,पालयित्वा,पालयितुम्,पालित,pAlayati,pālayati,pAlayati
√पीड्,10,U,पीडयति,Oprimir,Oprimir,Oppress,अपीडयत्,पीडयेत्,पीडयतु,पपीडयौ,पीडयित्वा,पीडयितुम्,पीडित,pIDayati,pīḍayati,pIDayati
√पुष्,4,P,पुष्यति,Nutrir,Nutrir,Nurture,अपुष्यत्,पुष्येत्,पुष्यतु,पुपुष,पुष्यित्वा,पुष्यितुम्,पुष्ट,puShyati,puṣyati,puSyati
√पूज्,10,U,पूजयति,Adorar,Adorar,Adore,अपूजयत्,पूजयेत्,पूजयतु,पपूजयौ,पूजयित्वा,पूजयितुम्,पूजित,pUjayati,pūjayati,pUjayati
√प्रच्छ्,6,P,पृच्छति,"Perguntar, interrogar,","Preguntar, interrogar, pedir","Ask, interrogate, ask",अपृच्छत्,पृच्छेत्,पृच्छतु,पप्रच्छ,पृष्ट्वा,पृष्टुम्,पृष्ट,pRRichChati,pṛcchati,pRcchati
√प्रच्छ् (pas),6,P,पृच्छ्यते,Solicitar,Pedir,Request,अपृच्छ्यत,पृच्छ्येत,पृच्छ्यताम्,पपृच्छ्ये,पृष्ट्वा,पृष्टुम्,पृष्ट,prachChyati,pracchyati,pracchyati
√बन्ध्,9,P,बध्यते,"Conectar, unir","Conectar, unir","Connect, unite",अबध्यत,बध्येत,बध्यताम्,बबन्धे,बद्ध्वा,बन्धितुम्,बद्ध,badhyate,badhyate,badhyate
√बुध्,1,U,बोधति / बोधते,Saber,Conocer,Know,अबोधत्,बोधेयम्,बोधतु,बुबोध,बुधित्वा,बोधितुम्,बोधित,bodhati / bodhate,bodhati / bodhate,bodhati / bodhate
√भक्ष्,10,U,भक्षयति,Comer,Comer,Eat,अभक्षयत्,भक्षयेत्,भक्षयतु,बभक्षयौ,भक्षयित्वा,भक्षयितुम्,भक्षित,bhakShayati,bhakṣayati,bhakSayati
√भञ्ज्,7,P,भज्यते,Pausar,Romper,Break,अभज्यत,भज्येत,भज्यताम्,बभञ्जे,भित्त्वा,भेत्तुम्,भिन्न,bhajyate,bhajyate,bhajyate
√भाष्,1,A,भाषते,Falar,Hablar,Speak,अभाषत,भाषेत,भाषेताम्,बभाषे,भाषित्वा,भाषितुम्,भाषित,bhAShate,bhāṣate,bhASate
√भू,1,P,भवति,Ser; Existir,Ser; Existir,Be; Exist,अभवत्,भवेयम्,भवतु,बभूव,भूत्वा,भवितुम्,भूत,bhavati,bhavati,bhavati
√भूष्,10,U,भूषयति,Adornar,Adornar,Adorn,अभूषयत्,भूषयेत्,भूषयतु,बभूषयौ,भूषयित्वा,भूषयितुम्,भूषित,bhUShayati,bhūṣayati,bhUSayati
√भृ,1,U,भरति,"Alimentar, manter","Alimentar, mantener","Feed, maintain",अबभरत्,भरेत्,भरतु,बभार,भर्त्वा,भर्तुम्,भ्र्त,bharati,bharati,bharati
√भ्रम्,4,P,भ्राम्यति,"Vagabundear, errar, viajar","Vagar, err, viajar","Wander, err, travel",अभ्राम्यत्,भ्राम्येत्,भ्राम्यतु,बभ्राम,भ्राम्यित्वा,भ्राम्यितुम्,भ्रान्त,bhrAmyati,bhrāmyati,bhrAmyati
√भ्रंश्,4,P,भ्रश्यति,Cair,Caer,Fall,अभ्रश्यत्,भ्रश्येत्,भ्रश्यतु,बभ्रंश,भ्रश्यित्वा,भ्रश्यितुम्,भ्रष्ट,bhrashyati,bhraśyati,bhrazyati
√मद्,4,P,माद्यति,"Alegrar-se, ficar satisfeito, ser feliz","Regocijarse, Satisfacerse, alegrarse","Rejoice, be satisfied, be glad",अमाद्यत्,माद्येत्,माद्यतु,ममाद,मत्त्वा,मदितुम्,मत्त,mAdyati,mādyati,mAdyati
√मन्,4,A,मन्यते,Pensar,Pensar,Think,अमन्यत,मन्येत,मन्यताम्,ममेने,मत्वा,मन्तुम्,मत,manyate,manyate,manyate
√मन्त्र्,10,A,मन्त्रयते,Consultar,Consultar,Consult,अमन्त्रयत,मन्त्रयेत,मन्त्रयताम्,ममन्त्रयत,मन्त्रयित्वा,मन्त्रयितुम्,मन्त्रित,mantrayate,mantrayate,mantrayate
√मुच्,6,U,मुञ्चति,Libertar,Liberar,Release,अमुञ्चत्,मुञ्चेत्,मुञ्चतु,मुमोच,मुक्त्वा,मोक्तुम्,मुक्त,mu~nchati,muñcati,muJcati
√मुह्,4,P,मुह्यति,Desmaiar,Desmayarse,Faint,अमुह्यत्,मुह्येत,मुह्यतु,मुमोह,मुह्यित्वा,मुह्यितुम्,मूढ,muhyati,muhyati,muhyati
√मृ,6,A,म्रियते,"Morrer, falecer","Morir, fallecer","Die, pass away",अम्रियत,म्रियेत,म्रियताम्,ममार,मृत्वा,मन्तुम्,मृत,mriyate,mriyate,mriyate
√मृग्,10,A,मृगयते,"Buscar, perseguir, caçar","Buscar, Perseguir, Cazar","Seek, pursue, hunt",अमृगयत,मृगयेत,मृगयताम्,ममृगयत,मृगयित्वा,मृगयितुम्,मृगित,mRRigayate,mṛgayate,mRgayate
√यज् (pas),1,U,इज्यते,Adorar; venerar; honrar; reverenciar,Adorar; Venerar; Honrar; Reverenciar,Adore; venerate; honor; revere,अइज्यत,इज्येत,इज्यताम्,इये,यष्ट्वा,यष्टुम्,इष्ट,ijyate,ijyate,ijyate
√यज्,1,U,यजति / यजते,Adorar; venerar; honrar; reverenciar,Adorar; Venerar; Honrar; Reverenciar,Adore; venerate; honor; revere,अयजत् / अयजत,यजेत् / यजेत,यजतु / यजताम्,इयाज / ईजे,इष्ट्वा,यष्टुम्,इष्ट,yajati / yajate,yajati / yajate,yajati / yajate
√यम्,1,P,यच्छति,"Ir, restringir, controlar, dar, oferecer, apoiar, sustentar","Ir, restringir, controlar, dar, ofrecer, dar soporte, sustentar","Go, restrain, control, give, offer, support, sustain",अयच्छत्,यच्छेत्,यच्छतु,ययाम,यत्वा,यमितुम् / यन्तुम्,यत,yachChati,yacchati,yacchati
√युध्,4,A,युध्यते,Esforçar-se,Luchar,Strive,अयुध्यत,युध्येत,युध्यताम्,युयुध्ये,युध्यित्वा,युध्यितुम्,युत,yudhyate,yudhyate,yudhyate
√रक्ष,1,P,रक्षति,Proteger,Proteger,Protect,अरक्षत्,रक्षेत्,रक्षतु,ररक्ष,रक्षत्वा,रक्षितुम्,रक्षित,rakShati,rakṣati,rakSati
√रच,10,U,रचयति,"Arranjar, dispor, dispor","Arreglar, disponer, disponer","Arrange, arrange, dispose",अरचयत्,रचयेत्,रचयतु,ररचयौ,रचयित्वा,रचयितुम्,रचित,rachayati,racayati,racayati
√रुच्,1,A,रोचते,"Brilhar, parecer esplêndido ou belo; gostar, ser agradável com; ser agradável a, ser agradável com as coisas); usado com dados da pessoa que está satisfeita","Brillar, lucir espléndido o hermoso; Gustar, estar complacido con; ser agradable a, complacer de las cosas); usado con dat. de la persona que está complacida","Shine, look splendid or beautiful; like, be pleased with; be pleasing to, be pleased with things); used with data of the person who is pleased",अरोचत,रोचेत,रोचताम्,रुरुचे,रुचित्वा / रोचित्वा,रोचितुम्,रुचित,rochate,rocate,rocate
√रुह्,1,P,रोहति,Crescer,Crecer,Grow,अरुहत्,रोहेत्,रोहतु,रुरोह,रुहित्वा / रूढ्वा,रोहितुम् / रोढुम्,रूढ,rohati,rohati,rohati
√लभ्,1,A,लभते,Obter,Obtener,Obtain,अलभत,लभेत,लभेताम्,ललाभ,लभित्वा,लभितुम्,लभित,labhate,labhate,labhate
√लिख्,6,P,लिखति,Escrever,Escribir,Write,अलिखत्,लिखेत्,लिखतु,लिलिख,लिखित्वा,लिखितुम्,लिखित,likhati,likhati,likhati
√लिप्,6,U,लिम्पति,Ungir com óleo,Ungir con aceite,Anoint with oil,अलिम्पत्,लिम्पेत्,लिम्पतु,लिलिम्प,लिम्पित्वा,लिम्पितुम्,लिप्त,limpati,limpati,limpati
√लुट्,4,P,लुट्यति,Revolver,Revolcarse,Wallow,अलुट्यत्,लुट्येत,लुट्यतु,लुलुट्य,लुट्यित्वा,लुट्यितुम्,लुटित,luTyati,luṭyati,luTyati
√लुप्,6,U,लुम्पति,"Quebrar, cortar, destruir, ferir;","Romper, cortar, destruir, herir;","Break, cut, destroy, wound;",अलुम्पत्,लुम्पेत्,लुम्पतु,लुलोप,लुप्त्वा,लोप्तुम्,लुप्त,lumpati,lumpati,lumpati
√वच्,10,U,उच्यते,Para ser falado,[Ser] hablado,To be spoken,अउच्यत,उच्येत,उच्यताम्,उवाच्ये,उक्त्वा,वक्तुम्,उक्त,uchyate,ucyate,ucyate
√वद् (pas),1,P,उद्यते,Para ser falado,[Ser] hablado,To be spoken,औद्यत,उद्येत,उद्यताम्,उवदत,उदित्वा,उदितुम्,उदित,udyate,udyate,udyate
√वद्,1,P,वदति,Para falar,Hablar,To speak,अवदत्,वदेत्,वदतु,उवाद,वदित्वा / उदित्वा,वदितुम्,उदित / वदित,vadati,vadati,vadati
√वन्द्,1,A,वन्दते,Para saudar,Saludar,To greet,अवन्दत,वन्देत,वन्देताम्,ववन्दे,वन्दित्वा,वन्दितुम्,वन्दित,vandate,vandate,vandate
√वप् (pas),1,U,उप्यते,Para plantar,Plantar,To plant,औप्यत,उप्येत,उप्यताम्,उवप्ये,उपित्वा,उपितुम्,उप्त,upyate,upyate,upyate
√वप्,1,U,वपति,Para plantar,Plantar,To plant,अवपत्,वपेत्,वपतु,ववाप,वप्त्वा,वप्तुम्,उप्त,vapati,vapati,vapati
√वस् (pas),1,P,उष्यते,Para ser habitado,[Ser] habitado,To be inhabited,औष्यत,उष्येत,उष्यताम्,उवास्ये,वासित्वा,वसितुम्,उक्त,uShyate,uṣyate,uSyate
√वस्,1,P,वसति,Para habitar,Habitar,To inhabit,अवसत्,वसेत्,वसतु,उवास,उष्ट्वा / उषित्वा,वस्तुम् / वसितुम्,उषित / उष्ट,vasati,vasati,vasati
√वह् (pas),1,U,उह्यते,"Para ser carregado, carregado","[Ser] llevado, llevado","To be carried, carried",औह्यत,उह्येत,उह्यताम्,उवाह्ये,वहित्वा,वहितुम्,ऊढ,uhyate,uhyate,uhyate
√वह्,1,U,वहति,"Para tomar, fluir","Tomar, fluir","To take, to flow",अवहत्,वहेत्,वहतु,उवह,वहित्वा,वक्तुम्,वहित,vahati,vahati,vahati
√विद्,6,U,विन्दति,"Para encontrar, descobrir, adquirir, ganhar, obter","Encontrar, descubrir, adquirir, ganar, obtener","To find, to discover, to acquire, to gain, to obtain",अविन्दत्,विन्देत्,विन्दतु,विवेद,वित्त्वा,वेत्तुम्,विन्न / वित्त,vindati,vindati,vindati
√विश्,6,P,विशति,Para entrar,Entrar,To enter,अविशत्,विशेत्,विशतु,विवेश,विशित्वा,विशितुम्,ृष्ट,vishati,viśati,vizati
√वृत्,1,A,वर्तते,Para existir,Existir,To exist,अवर्तत,वर्तेत,वर्तताम्,ववृते,वर्तित्वा,वर्तितुम्,वृत,vartate,vartate,vartate
√वृध्,1,A,वर्धते,Para aumentar,Incrementar,To increase,अवर्धत,वर्धेत,वर्धताम्,ववृधे,वर्धित्वा,वर्धितुम्,वृद्ध,vardhate,vardhate,vardhate
√वेप्,1,A,वेपते,Para tremer,Temblar,To tremble,अवेपत,वेपेत,वेपताम्,विवेपे,वेपित्वा,वेपितुम्,वेप्त,vepate,vepate,vepate
√व्यध्,4,P,विध्यति,Para passar através,Atravesar,To pass through,अविध्यत्,विध्येत,विध्यतु,विव्याध,विध्यित्वा,विध्यितुम्,विद्ध,vidhyati,vidhyati,vidhyati
√व्रज्,1,U,व्रजति,Para ir,Ir,To go,अव्रजत्,व्रजेत्,व्रजतु,विव्राज,व्रजित्वा,व्रजितुम्,वृत्त,vrajati,vrajati,vrajati
√शम्,4,P,शाम्यति,"Ficar em silêncio, ficar quieto","Callar, callar, detenerse","To be silent, to be quiet, to stop",अशाम्यत्,शाम्येत,शाम्यतु,शशाम,शाम्यित्वा,शाम्यितुम्,शा,shAmyati,śāmyati,zAmyati
√शंस्,1,A,शंसति,Para louvar,Alabar,To praise,अशंसत,शंसेत,शंसतु,शशंस,शंस्य,शंसितुम्,शस्त,shaMsati,śaṃsati,zaMsati
√शास्,2,P,शिष्यते,"Para ordenar, para comandar","Ordenar, ordenar","To order, to command",अशिक्षत,शिक्षेत,शिक्षताम्,शशास,शिक्ष्य,शिक्षितुम्,शिक्षित,shiShyate,śiṣyate,ziSyate
√शिक्ष्,1,A,शिक्षते,Para aprender,Aprender,To learn,अशिक्षत,शिक्षेत,शिक्षताम्,शशिक्ष,शिक्ष्य,शिक्षितुम्,शिक्षित,shikShate,śikṣate,zikSate
√शी,2,A,शय्यते,Para deitar,Acostarse,To lie down,अशय्यत,शय्येत,शय्यताम्,शशे,शयित्वा,शयितुम्,शयित,shayyate,śayyate,zayyate
√शुच्,1,P,शोचति,"Para ficar triste, para sofrer","Entristecerse, sufrir","To be sad, to suffer",अशोचत,शोचेत,शोचतु,शुशोच,शोच्य,शोचितुम्,शुक्त,shochati,śocati,zocati
√श्रम्,4,P,श्राम्यति,Para estar cansado ou fatigado,Estar cansado o fatigado,To be tired or fatigued,अश्राम्यत्,श्राम्येत्,श्राम्यतु,शश्राम,श्रान्त्वा / श्रमित्वा,श्रमितुम्,श्रान्त,shrAmyati,śrāmyati,zrAmyati
√सद्,1,P,सीदति,Para sentar,Sentarse,To sit down,असीदत्,सीदेत्,सीदतु,ससाद,सत्त्वा,सीदितुम् / सत्तुम्,सन्न,sIdati,sīdati,sIdati
