सुबन्तं,लिङ्ग,Portugués,Español,Inglés,ITRANS,IATS,Harvard-Kyoto
पीन,a,Gordo,Gordo,Fat,pIna,pīna,pIna
पुण्य,n,"Virtude, mérito, puṇya","Virtud, mérito, puṇya","Virtue, merit, puṇya",puNya,puṇya,puNya
पुत्र,m,Filho,Hijo,Son,putra,putra,putra
पुरुषकार,m,Humano Esforço,Esfuerzo humano,Human Effort,puruShakAra,puruṣakāra,puruSakAra
पुस्तक,n,Livro,Libro,Book,pustakam,pustakam,pustakam
पृथिवी,f,Terra,Tierra,Earth,pRRithivI,pṛthivī,pRthivI
प्रतिपत्ति,f,Fama,Fama,Fame,pratipatti,pratipatti,pratipatti
प्रभु,m,"Senhor, Mestre","Señor, Maestro","Lord, Master",prabhu,prabhu,prabhu
प्रसन्न,a,"Favorável, Claro","Favorable, claro","Favorable, clear",prasanna,prasanna,prasanna
प्रसाद,m,Favor,Favor,Favor,prasAda,prasāda,prasAda
प्रावृष्,f,Estação chuvosa,Temporada de lluvias,Rainy season,prAvRRiSh prAvRRiT),prāvṛṣ prāvṛṭ),prAvRS prAvRT)
प्रासाद,m,Palácio,Palacio,Palace,prAsAda,prāsāda,prAsAda
प्रीति,f,Afeição,Afecto,Affection,prIti,prīti,prIti
फल,n,Fruta,Fruta,Fruit,phala,phala,phala
बन्धु,m,"Parente, irmão","Pariente, hermano","Relative, brother",bandhu,bandhu,bandhu
बल,n,Força,Fuerza,Strength,balam,balam,balam
बहु,a,Muito,Mucho,Much,bahu,bahu,bahu
बाल,m,"Criança, menino",Niño,Child,bAla,bāla,bAla
बालिका,f,Menina,Niña,Girl,bAlikA,bālikā,bAlikA
बाहु,m,Braço,Brazo,Arm,bAhu,bāhu,bAhu
बिन्दु,m,Gota,Gota,Drop,bindu,bindu,bindu
भक्ति,f,Devoção,Devoción,Devotion,bhakti,bhakti,bhakti
भगिनी,f,Irmã,Hermana,Sister,bhaginI,bhaginī,bhaginI
भय,n,Medo,Miedo,Fear,bhayam,bhayam,bhayam
भर्तृ,m,Marido,Esposo Esposo,Husband,bhartRRi bhartA),bhartṛ bhartā),bhartR bhartA)
भार,m,"Fardo, peso","Carga, peso","Burden, weight",bhAra,bhāra,bhAra
भार्या,f,Esposa,Esposa,Wife,bhAryA,bhāryā,bhAryA
भार्या,f,Esposa,Esposa,Wife,bhAryA,bhāryā,bhAryA
भाषा,f,"Discurso, Ensinamento","Discurso, Enseñanza","Speech, Teaching",bhAShA,bhāṣā,bhASA
भिषज्,m,Doutor,Doctor,Doctor,bhiShaj bhiShak),bhiṣaj bhiṣak),bhiSaj bhiSak)
भूभृत्,m,Rei,Rey,King,bhUbhRRit,bhūbhṛt,bhUbhRt
भूमि,f,Terra,Tierra,Earth,bhUmi,bhūmi,bhUmi
भूषण,n,"Ornamento, ornamento, decoração","Adorno, ornamento, decoración","Ornament, ornament, decoration",bhUShaNa,bhūṣaṇa,bhUSaNa
भ्रातृ,m,Irmão,Hermano,Brother,bhrAtRRi,bhrātṛ,bhrAtR
मति,f,Mente,Mente,Mind,mati,mati,mati
मधु,n,Mel,Miel,Honey,madhu,madhu,madhu
मनस्,n,Mente,Mente,Mind,manas mana),manas mana),manas mana)
मनोरथ,m,Desejo,Deseo,Desire,manoratha,manoratha,manoratha
मन्दिर,n,Templo,Templo,Temple,mandiram,mandiram,mandiram
मरुत्,m,Vento,Viento,Wind,marut,marut,marut
मलहारक,m,Varredor,Barrendero,Sweeper,malahAraka,malahāraka,malahAraka
महाराज,m,Grande Rei,Gran Rey,Great King,mahArAja,mahārāja,mahArAja
मातृ,f,Mãe,Madre,Mother,mAtRRi,mātṛ,mAtR
मानुष,m,Homem,Hombre,Man,mAnuSha,mānuṣa,mAnuSa
माला,f,Guirlanda,Guirnalda,Garland,mAlA,mālā,mAlA
मांस,n,Carne,Carne,Flesh,mAMsam,māṃsam,mAMsam
मित्र,n,Amigo,Amigo,Friend,mitra,mitra,mitra
मुक्ति,f,Salvação,Salvación,Salvation,mukti,mukti,mukti
मुख,n,Boca,Boca,Mouth,mukham,mukham,mukham
मुद्रा,f,"Selo, Moeda","Sello, Moneda","Seal, Coin",mudrA,mudrā,mudrA
मुनि,m,Sábio,Sabio,Sage,muni,muni,muni
मृग,m,Veado,Ciervo,Deer,mRRiga,mṛga,mRga
मृत,a,Morto,Muerto,Dead,mRRita,mṛta,mRta
मृत्यु,m,Morte,Muerte,Death,mRRityu,mṛtyu,mRtyu
मृदु,a,Suave,Suave,Soft,mRRidu,mṛdu,mRdu
मेघ,m,Nuvem,Nube,Cloud,megha,megha,megha
मोह,m,Ilusão,Ilusión,Illusion,moha,moha,moha
यशस्,n,Fama,Fama,Fame,yashas yasha),yaśas yaśa),yazas yaza)
योग,m,Yoga,Yoga,Yoga,yoga,yoga,yoga
रक्त,a,Vermelho,Rojo,Red,rakta,rakta,rakta
रघु,m,Raghu,Raghu,Raghu,raghu,raghu,raghu
रज्जु,f,Corda,Cuerda,Rope,rajju,rajju,rajju
रत्न,n,Joia,Joya,Jewel,ratnam,ratnam,ratnam
रथ,m,"Carruagem, carroça","Carruaje, carro","Chariot, wagon",ratha,ratha,ratha
रम्भा,f,Banana,Árbol de plátano,Tree Banana,rambhA,rambhā,rambhA
रवि,m,Sol,Sol,Sun,ravi,ravi,ravi
रश्मि,m,Relâmpago,Rayo,Lightning,rashmi,raśmi,razmi
राज्ञी,f,Rainha,Reina,Queen,rAj~nI,rājñī,rAjJI
रात्रि,f,Noite,Noche,Night,rAtri,rātri,rAtri
राम,m,Rāma,Rāma,Rāma,rAma,rāma,rAma
राशि,m,Monte,Montón,Heap,rAshi,rāśi,rAzi
रेखा,f,Fio,Hilo,Thread,rekhA,rekhā,rekhA
रेणु,f,"Pó, Pólen","Polvo, Polen","Dust, Pollen",reNu,reṇu,reNu
लघु,a,Leve,Ligero,Light,laghu,laghu,laghu
लज्जा,f,Vergonha,Vergüenza,Shame,lajjA,lajjā,lajjA
लता,f,Videira,Vid,Vine,latA,latā,latA
लोक,m,Mundo,Mundo,World,loka,loka,loka
लोभ,m,Ganância,Codicia,Greed,lobha,lobha,lobha
वक्तृ,a,Eloquente,Elocuente,Eloquent,vaktRRi,vaktṛ,vaktR
वचन,n,"Fala, discurso","Habla, discurso","Speech, speech",vachana,vacana,vacana
वणिज्,m,Comerciante,Comerciante,Merchant,vaNij vaNik),vaṇij vaṇik),vaNij vaNik)
वध,m,Abate,Masacre,Slaughter,vadha,vadha,vadha
वधू,f,Noiva,Novia,Bride,vadhU,vadhū,vadhU
वन,n,"Floresta, selva","Bosque, selva","Forest, jungle",vana,vana,vana
वयस्,n,Idade,Edad,Age,vayas vaya),vayas vaya),vayas vaya)
वस्तु,n,Coisa,Cosa,Thing,vastu,vastu,vastu
वाच्,f,Fala,Discurso,Speech,vAch vAk),vāc vāk),vAc vAk)
वाणी,f,Voz,Voz,Voice,vANI,vāṇī,vANI
वानर,m,Macaco,Mono,Monkey,vAnara,vānara,vAnara
वायु,m,Vento,Viento,Wind,vAyu,vāyu,vAyu
वारि,n,Água,Agua,Water,vAri,vāri,vAri
विद्या,f,Conhecimento,Conocimiento,Knowledge,vidyA,vidyā,vidyA
विद्युत्,f,Raio,"Rayo, relámpago",Thunderbolt,vidyut,vidyut,vidyut
विधि,m,Destino,Destino,Destiny,vidhi,vidhi,vidhi
विनय,m,Modéstia,Modestia,Modesty,vinaya,vinaya,vinaya
विपद्,f,Perigo,Peligro,Danger,vipad vipat),vipad vipat),vipad vipat)
विमूढ,a,Perplexo,Desconcertado,Bewildered,vimUDha,vimūḍha,vimUDha
विहग,m,Pássaro,Pájaro,Bird,vihaga,vihaga,vihaga
वीर,m,Herói,Héroe,Hero,vIra,vīra,vIra
वृक्ष,m,Árvore,Árbol,Tree,vRRikSha,vṛkṣa,vRkSa
वृद्ध,a,Velho,Viejo,Old,vRRiddha,vṛddha,vRddha
वृद्धत्वम्,n,Velhice,Vejez,Old age,vRRiddhatvam,vṛddhatvam,vRddhatvam
वेधस्,m,Criador,Creador,Creator,vedhas vedhA),vedhas vedhā),vedhas vedhA)
व्याधित,a,Doente,Enfermo,Sick,vyAdhita,vyādhita,vyAdhita
शक्ति,f,Poder,Poder,Power,shakti,śakti,zakti
शठ,m,"Trapaceiro, canalha","Un pícaro, tramposo, embaucador, estafador","A rogue, cheat, scoundrel, swindler",shaTha,śaṭha,zaTha
शत्रु,m,Inimigo,Enemigo,Enemy,shatru,śatru,zatru
शर,m,Flecha,Flecha,Arrow,shara,śara,zara
शरद्,f,Outono,Otoño,Autumn,sharad sharat),śarad śarat),zarad zarat)
शरीर,n,Corpo,Cuerpo,Body,sharIram,śarīram,zarIram
शर्वरी,f,Noite,Noche,Night,sharvarI,śarvarī,zarvarI
शस्त्र,n,Arma,Arma,Weapon,shastram,śastram,zastram
शास्त्र,n,Escritura sagrada; Tratado; Texto de ensino,Escritura sagrada; Tratado; Texto de enseñanza,Sacred scripture; Treatise; Teaching text,shAstra,śāstra,zAstra
शिशु,m,Bebê,Bebé,Baby,shishu,śiśu,zizu
शिष्य,m,Aprendiz; Discípulo; Estudante (aquele que deve ser ensinado),Aprendiz; Discípulo; Alumno aquel que debe ser enseñado),Apprentice; Disciple; Student (one who should be taught),shiShya,śiṣya,ziSya
शीत,a,"Frio, fresco","Frío, fresco","Cold, fresh",shIta,śīta,zIta
शीर्ष,n,Cabeça,Cabeza,Head,shIrSham,śīrṣam,zIrSam
शील,n,Caráter,Carácter,Character,shIlam,śīlam,zIlam
शुचि,a,Puro,Puro,Pure,shuchi,śuci,zuci
शुच्,f,"Dor, Aflição","Dolor, Aflicción","Pain, Affliction",shuch shuk),śuc śuk),zuc zuk)
शृगाल,m,Chacal,Chacal,Jackal,shRRigAla,śṛgāla,zRgAla
शोभा,a,Esplendor,Esplendor,Splendor,shobhA,śobhā,zobhA
श्रोतार,m,Ouvinte,Oyente,Listener,shrotAraH,śrotāraḥ,zrotAraH
श्रोतृ,m,Ouvinte,Oyente,Listener,shrotRRi,śrotṛ,zrotR
श्वश्रू,f,Sogra,Suegra,Mother-in-law,shvashrU,śvaśrū,zvazrU
श्वेत,a,Branco,Blanco,White,shveta,śveta,zveta
सख्य,n,Amizade,Amistad,Friendship,sakhyam,sakhyam,sakhyam
सत्य,n,Verdade,Verdad,Truth,satyam,satyam,satyam
सन्ध्या,f,Crepúsculo,Crepúsculo,Twilight,sandhyA,sandhyā,sandhyA
सभा,f,Assembleia,Asamblea,Assembly,sabhA,sabhā,sabhA
समिध्,f,Combustível,Combustible,Fuel,samidh samit),samidh samit),samidh samit)
सम्पद्,f,Riqueza,Riqueza,Wealth,sampad sampat),sampad sampat),sampad sampat)
सम्राज्,m,Imperador,Emperador,Emperor,samrAj samrAT),samrāj samrāṭ),samrAj samrAT)
सरित्,f,Rio,Río,River,sarit,sarit,sarit
सर्प,m,Cobra,Serpiente,Snake,sarpa,sarpa,sarpa
सवितृ,m,Sol,Sol,Sun,savitRRi,savitṛ,savitR
संसार,m,Saṃsāra,Saṃsāra,Saṃsāra,saMsAra,saṃsāra,saMsAra
साधु,m,Homem Honesto,Hombre Honesto,Honest Man,sAdhu,sādhu,sAdhu
साधु,a,Virtuoso,Virtuoso,Virtuous,sAdhu,sādhu,sAdhu
सिंही,f,Leoa,Leona,Lioness,siMhI,siṃhī,siMhI
सीता,f,Sita,Sītā,Sita,sItA,sītā,sItA
सुख,n,"Felicidade, alegria, deleite, prazer, conforto, facilidade","Felicidad, alegría, deleite, placer, comodidad, facilidad","Happiness, joy, delight, pleasure, comfort, ease",sukha,sukha,sukha
सुगन्धि,a,Odorífero,Oloroso,Odorous,sugandhi,sugandhi,sugandhi
सुप्त,a,Adormecido,Durmiente,Sleeping,supta,supta,supta
सुमति,m,Sumati,Sumati,Sumati,sumati,sumati,sumati
सुरभि,a,Perfumado,Fragante,Fragrant,surabhi,surabhi,surabhi
सुहृद्,m,Amigo,Amigo,Friend,suhRRid suhRRit),suhṛd suhṛt),suhRd suhRt)
सूत,m,Cocheiro,Cochero,Coachman,sUta,sūta,sUta
सौन्दर्य,n,Beleza,Belleza,Beauty,saundaryam,saundaryam,saundaryam
स्तेन,m,Ladrão,Ladrón,Thief,stena,stena,stena
स्थान,n,Lugar,Lugar,Place,sthAnam,sthānam,sthAnam
स्रज्,f,Guirlanda,Guirnalda,Garland,sraj srak),sraj srak),sraj srak)
स्वसृ,f,Irmã,Hermana,Sister,svasRRi,svasṛ,svasR
स्वादु,a,Doce,Dulce,Sweet,svAdu,svādu,svAdu
हत,a,Morto,Asesinado,Slain,hata,hata,hata
हनु,f,"Mandíbula, Queixo","Mandíbula, Barbilla","Jaw, Chin",hanu,hanu,hanu
हरि,m,Hari,Hari,Hari,hari,hari,hari
हरित,a,Verde,Verde,Green,harita,harita,harita
हल,n,Arado,Arado,Plow,halam,halam,halam
हंस,m,Cisne,Cisne,Swan,haMsa,haṃsa,haMsa
हस्त,m,Mão,Mano,Hand,hasta,hasta,hasta
हास्य,n,Ridículo,Ridículo,Ridiculous,hAsyam,hāsyam,hAsyam
हेतु,m,Causa,Causa,Cause,hetu,hetu,hetu
