अव्यय,विभक्ति,Portugues,Español,Inglés,ITRANS,IATS,Harvard-Kyoto
बहिः,+5ºc,Afora,"Fuera, afuera",Outside,bahiH,bahiḥ,bahiH
भृशम्,-,Muito violento,Con gran violencia,Greatly violently,bhRRisham,bhṛśam,bhRzam
मतिं करोमि,+7ºc,Direciono minha mente para,Vuelvo mi mente a,I turn my mind to,matiM karomi,matiṃ karomi,matiM karomi
मा,-,Não,No (negación) ,"No, not",mA,mā,mA
यथा...तथा,-,Como… então,Como... así,As… so,yathA...tathA,yathā...tathā,yathA...tathA
यदि,-,Si,Si,If,yadi,yadi,yadi
रहसि,-,Em segredo,En secreto,In secret,rahasi,rahasi,rahasi
विना,"+2°c, 3°c, 5°c","Sem, exclusivamente",Sin,"Without, exclusive",vinA,vinā,vinA
वृथा,-,Em vão,En vano,In vain,vRRithA,vṛthā,vRthA
शनैः,-,"Devagar, lentamente",Lentamente,Slowly,shanaiH,śanaiḥ,zanaiH
शीर्षे करोमि,-,Coloco na minha cabeça,Pongo sobre mi cabeza,I place on my head,shIrShe karomi,śīrṣe karomi,zIrSe karomi
श्वः,-,Amanhã,Mañana,Tomorrow,shvaH,śvaḥ,zvaH
सकृत्,-,Uma vez,una vez,once,sakRRit,sakṛt,sakRt
सदा,-,Sempre,Siempre,Always,sadA,sadā,sadA
सपदि,-,Imediatamente,De inmediato,At once,sapadi,sapadi,sapadi
समक्षम्,+6ºc,Na presença de,En presencia de,In the presence of,samakSham,samakṣam,samakSam
समम्,+3°c,Com (instrumental),Con,With,samam,samam,samam
समया,+2ºc,Perto,Cerca,Near,samayA,samayā,samayA
समीपम्,6°,Perto,Cerca,Near,samIpam,samīpam,samIpam
सर्वतः,+2ºc,Em todos lados,En todos lados,On all sides,sarvataH,sarvataḥ,sarvataH
सह,+3ºc,"Com, junto com",Junto con; junto,With,saha,saha,saha
सहसा,-,"Repentinamente, subitamente",De repente,Suddenly,sahasA,sahasā,sahasA
स्वस्ति,+4ºc,Salve! Viva!,"Partícula que significa ""que le vaya bien a uno)"" o ""que esté bien con uno); auspiciosidad; bien-estar; ¡Viva!, ¡Salud!, ¡Salve!",Hail!,svasti,svasti,svasti
हि,-,"Para, de fato","Porque, en verdad, realmente","For, indeed",hi,hi,hi
ह्यः,-,Ontem,Ayer,Yesterday,hyaH,hyaḥ,hyaH
