word_type,word_devanagari,root_devanagari,verb_class,voice,standard_form,meaning_pt,meaning_es,meaning_en,past_imperfect,potential,imperative,past_participle,gerund,infinitive,ppp,itrans,iast,harvard_kyoto,is_published,order_index
"verb","√नश्","√नश्","4","parasmaipada","नश्यति","Perecer","Perecer","Perish","अनश्यत्","नश्येत्","नश्यतु","ननश","नश्यित्वा","नश्यितुम्","नष्ट","nashyati","naśyati","nazyati","true","58"
"verb","√निन्द्","√निन्द्","1","parasmaipada","निन्दति","Culpar, condenar","Culpar, condenar","Blame, condemn","अनिन्दत्","निन्देत्","निन्दतु","निनिन्द","निन्दित्वा","निन्दितुम्","निन्दित","nindati","nindati","nindati","true","59"
"verb","√नी","√नी","1","ubhayapada","नयति / नयते","Liderar","Liderar","Lead","अनयत्","नयेत्","नयतु","निनाय","नीयत्वा","नेतुम्","नीत","nayati / nayate","nayati / nayate","nayati / nayate","true","60"
"verb","√नृत्","√नृत्","4","parasmaipada","नृत्यति","Dançar, mover-se","Bailar, moverse","Dance, move","अनृत्यत्","नृत्येत्","नृत्यतु","ननर्त","नृत्त्वा","नर्त्तुम् / नर्तितुम्","नृत्त","nRRityati","nṛtyati","nRtyati","true","61"
"verb","√पच्","√पच्","1","ubhayapada","पचति / पचते","Cozinhar","Cocinar","Cook","अपचत्","पचेत्","पचतु","पपाच","पक्त्वा","पक्तुम्","पक्त","pachati / pachate","pacati / pacate","pacati / pacate","true","62"
"verb","√पठ्","√पठ्","1","parasmaipada","पठति","Recitar","Recitar","Recite","अपठत्","पठेत्","पठतु","पपाठ","पठित्वा","पठितुम्","पठित","paThati","paṭhati","paThati","true","63"
"verb","√पत्","√पत्","1","parasmaipada","पतति","Cair","Caer","Fall","अपतत्","पतेत्","पततु","पपात","पतित्वा","पतितुम्","पतित","patati","patati","patati","true","64"
"verb","√पद्","√पद्","4","atmanepada","पद्यते","Ir, obter","Ir, obtener","Go, obtain","अपद्यत","पद्येत","पद्यताम्","पपादे","पदित्वा","पदितुम्","पतित","padyate","padyate","padyate","true","65"
"verb","√पा","√पा","1","parasmaipada","पिबति","Beber","Beber","Drink","अपिबत्","पिबेत्","पिबतु","पपौ","पीत्वा","पीतुम्","पीत","pibati","pibati","pibati","true","66"
"verb","√पाल्","√पाल्","10","ubhayapada","पालयति","Proteger","Proteger","Protect","अपालयत्","पालयेत्","पालयतु","पपालयौ","पालयित्वा","पालयितुम्","पालित","pAlayati","pālayati","pAlayati","true","67"
"verb","√पीड्","√पीड्","10","ubhayapada","पीडयति","Oprimir","Oprimir","Oppress","अपीडयत्","पीडयेत्","पीडयतु","पपीडयौ","पीडयित्वा","पीडयितुम्","पीडित","pIDayati","pīḍayati","pIDayati","true","68"
"verb","√पुष्","√पुष्","4","parasmaipada","पुष्यति","Nutrir","Nutrir","Nurture","अपुष्यत्","पुष्येत्","पुष्यतु","पुपुष","पुष्यित्वा","पुष्यितुम्","पुष्ट","puShyati","puṣyati","puSyati","true","69"
"verb","√पूज्","√पूज्","10","ubhayapada","पूजयति","Adorar","Adorar","Adore","अपूजयत्","पूजयेत्","पूजयतु","पपूजयौ","पूजयित्वा","पूजयितुम्","पूजित","pUjayati","pūjayati","pUjayati","true","70"
"verb","√प्रच्छ्","√प्रच्छ्","6","parasmaipada","पृच्छति","Perguntar, interrogar,","Preguntar, interrogar, pedir","Ask, interrogate, ask","अपृच्छत्","पृच्छेत्","पृच्छतु","पप्रच्छ","पृष्ट्वा","पृष्टुम्","पृष्ट","pRRichChati","pṛcchati","pRcchati","true","71"
"verb","√प्रच्छ् (pas)","√प्रच्छ् (pas)","6","parasmaipada","पृच्छ्यते","Solicitar","Pedir","Request","अपृच्छ्यत","पृच्छ्येत","पृच्छ्यताम्","पपृच्छ्ये","पृष्ट्वा","पृष्टुम्","पृष्ट","prachChyati","pracchyati","pracchyati","true","72"
"verb","√बन्ध्","√बन्ध्","9","parasmaipada","बध्यते","Conectar, unir","Conectar, unir","Connect, unite","अबध्यत","बध्येत","बध्यताम्","बबन्धे","बद्ध्वा","बन्धितुम्","बद्ध","badhyate","badhyate","badhyate","true","73"
"verb","√बुध्","√बुध्","1","ubhayapada","बोधति / बोधते","Saber","Conocer","Know","अबोधत्","बोधेयम्","बोधतु","बुबोध","बुधित्वा","बोधितुम्","बोधित","bodhati / bodhate","bodhati / bodhate","bodhati / bodhate","true","74"
"verb","√भक्ष्","√भक्ष्","10","ubhayapada","भक्षयति","Comer","Comer","Eat","अभक्षयत्","भक्षयेत्","भक्षयतु","बभक्षयौ","भक्षयित्वा","भक्षयितुम्","भक्षित","bhakShayati","bhakṣayati","bhakSayati","true","75"
"verb","√भञ्ज्","√भञ्ज्","7","parasmaipada","भज्यते","Pausar","Romper","Break","अभज्यत","भज्येत","भज्यताम्","बभञ्जे","भित्त्वा","भेत्तुम्","भिन्न","bhajyate","bhajyate","bhajyate","true","76"
"verb","√भाष्","√भाष्","1","atmanepada","भाषते","Falar","Hablar","Speak","अभाषत","भाषेत","भाषेताम्","बभाषे","भाषित्वा","भाषितुम्","भाषित","bhAShate","bhāṣate","bhASate","true","77"
"verb","√भू","√भू","1","parasmaipada","भवति","Ser; Existir","Ser; Existir","Be; Exist","अभवत्","भवेयम्","भवतु","बभूव","भूत्वा","भवितुम्","भूत","bhavati","bhavati","bhavati","true","78"
"verb","√भूष्","√भूष्","10","ubhayapada","भूषयति","Adornar","Adornar","Adorn","अभूषयत्","भूषयेत्","भूषयतु","बभूषयौ","भूषयित्वा","भूषयितुम्","भूषित","bhUShayati","bhūṣayati","bhUSayati","true","79"
"verb","√भृ","√भृ","1","ubhayapada","भरति","Alimentar, manter","Alimentar, mantener","Feed, maintain","अबभरत्","भरेत्","भरतु","बभार","भर्त्वा","भर्तुम्","भ्र्त","bharati","bharati","bharati","true","80"
"verb","√भ्रम्","√भ्रम्","4","parasmaipada","भ्राम्यति","Vagabundear, errar, viajar","Vagar, err, viajar","Wander, err, travel","अभ्राम्यत्","भ्राम्येत्","भ्राम्यतु","बभ्राम","भ्राम्यित्वा","भ्राम्यितुम्","भ्रान्त","bhrAmyati","bhrāmyati","bhrAmyati","true","81"
"verb","√भ्रंश्","√भ्रंश्","4","parasmaipada","भ्रश्यति","Cair","Caer","Fall","अभ्रश्यत्","भ्रश्येत्","भ्रश्यतु","बभ्रंश","भ्रश्यित्वा","भ्रश्यितुम्","भ्रष्ट","bhrashyati","bhraśyati","bhrazyati","true","82"
"verb","√मद्","√मद्","4","parasmaipada","माद्यति","Alegrar-se, ficar satisfeito, ser feliz","Regocijarse, Satisfacerse, alegrarse","Rejoice, be satisfied, be glad","अमाद्यत्","माद्येत्","माद्यतु","ममाद","मत्त्वा","मदितुम्","मत्त","mAdyati","mādyati","mAdyati","true","83"
"verb","√मन्","√मन्","4","atmanepada","मन्यते","Pensar","Pensar","Think","अमन्यत","मन्येत","मन्यताम्","ममेने","मत्वा","मन्तुम्","मत","manyate","manyate","manyate","true","84"
"verb","√मन्त्र्","√मन्त्र्","10","atmanepada","मन्त्रयते","Consultar","Consultar","Consult","अमन्त्रयत","मन्त्रयेत","मन्त्रयताम्","ममन्त्रयत","मन्त्रयित्वा","मन्त्रयितुम्","मन्त्रित","mantrayate","mantrayate","mantrayate","true","85"
"verb","√मुच्","√मुच्","6","ubhayapada","मुञ्चति","Libertar","Liberar","Release","अमुञ्चत्","मुञ्चेत्","मुञ्चतु","मुमोच","मुक्त्वा","मोक्तुम्","मुक्त","mu~nchati","muñcati","muJcati","true","86"
"verb","√मुह्","√मुह्","4","parasmaipada","मुह्यति","Desmaiar","Desmayarse","Faint","अमुह्यत्","मुह्येत","मुह्यतु","मुमोह","मुह्यित्वा","मुह्यितुम्","मूढ","muhyati","muhyati","muhyati","true","87"
"verb","√मृ","√मृ","6","atmanepada","म्रियते","Morrer, falecer","Morir, fallecer","Die, pass away","अम्रियत","म्रियेत","म्रियताम्","ममार","मृत्वा","मन्तुम्","मृत","mriyate","mriyate","mriyate","true","88"
"verb","√मृग्","√मृग्","10","atmanepada","मृगयते","Buscar, perseguir, caçar","Buscar, Perseguir, Cazar","Seek, pursue, hunt","अमृगयत","मृगयेत","मृगयताम्","ममृगयत","मृगयित्वा","मृगयितुम्","मृगित","mRRigayate","mṛgayate","mRgayate","true","89"
"verb","√यज् (pas)","√यज् (pas)","1","ubhayapada","इज्यते","Adorar; venerar; honrar; reverenciar","Adorar; Venerar; Honrar; Reverenciar","Adore; venerate; honor; revere","अइज्यत","इज्येत","इज्यताम्","इये","यष्ट्वा","यष्टुम्","इष्ट","ijyate","ijyate","ijyate","true","90"
"verb","√यज्","√यज्","1","ubhayapada","यजति / यजते","Adorar; venerar; honrar; reverenciar","Adorar; Venerar; Honrar; Reverenciar","Adore; venerate; honor; revere","अयजत् / अयजत","यजेत् / यजेत","यजतु / यजताम्","इयाज / ईजे","इष्ट्वा","यष्टुम्","इष्ट","yajati / yajate","yajati / yajate","yajati / yajate","true","91"
"verb","√यम्","√यम्","1","parasmaipada","यच्छति","Ir, restringir, controlar, dar, oferecer, apoiar, sustentar","Ir, restringir, controlar, dar, ofrecer, dar soporte, sustentar","Go, restrain, control, give, offer, support, sustain","अयच्छत्","यच्छेत्","यच्छतु","ययाम","यत्वा","यमितुम् / यन्तुम्","यत","yachChati","yacchati","yacchati","true","92"
"verb","√युध्","√युध्","4","atmanepada","युध्यते","Esforçar-se","Luchar","Strive","अयुध्यत","युध्येत","युध्यताम्","युयुध्ये","युध्यित्वा","युध्यितुम्","युत","yudhyate","yudhyate","yudhyate","true","93"
"verb","√रक्ष","√रक्ष","1","parasmaipada","रक्षति","Proteger","Proteger","Protect","अरक्षत्","रक्षेत्","रक्षतु","ररक्ष","रक्षत्वा","रक्षितुम्","रक्षित","rakShati","rakṣati","rakSati","true","94"
"verb","√रच","√रच","10","ubhayapada","रचयति","Arranjar, dispor, dispor","Arreglar, disponer, disponer","Arrange, arrange, dispose","अरचयत्","रचयेत्","रचयतु","ररचयौ","रचयित्वा","रचयितुम्","रचित","rachayati","racayati","racayati","true","95"
"verb","√रुच्","√रुच्","1","atmanepada","रोचते","Brilhar, parecer esplêndido ou belo; gostar, ser agradável com; ser agradável a, ser agradável com as coisas); usado com dados da pessoa que está satisfeita","Brillar, lucir espléndido o hermoso; Gustar, estar complacido con; ser agradable a, complacer de las cosas); usado con dat. de la persona que está complacida","Shine, look splendid or beautiful; like, be pleased with; be pleasing to, be pleased with things); used with data of the person who is pleased","अरोचत","रोचेत","रोचताम्","रुरुचे","रुचित्वा / रोचित्वा","रोचितुम्","रुचित","rochate","rocate","rocate","true","96"
"verb","√रुह्","√रुह्","1","parasmaipada","रोहति","Crescer","Crecer","Grow","अरुहत्","रोहेत्","रोहतु","रुरोह","रुहित्वा / रूढ्वा","रोहितुम् / रोढुम्","रूढ","rohati","rohati","rohati","true","97"
"verb","√लभ्","√लभ्","1","atmanepada","लभते","Obter","Obtener","Obtain","अलभत","लभेत","लभेताम्","ललाभ","लभित्वा","लभितुम्","लभित","labhate","labhate","labhate","true","98"
"verb","√लिख्","√लिख्","6","parasmaipada","लिखति","Escrever","Escribir","Write","अलिखत्","लिखेत्","लिखतु","लिलिख","लिखित्वा","लिखितुम्","लिखित","likhati","likhati","likhati","true","99"
"verb","√लिप्","√लिप्","6","ubhayapada","लिम्पति","Ungir com óleo","Ungir con aceite","Anoint with oil","अलिम्पत्","लिम्पेत्","लिम्पतु","लिलिम्प","लिम्पित्वा","लिम्पितुम्","लिप्त","limpati","limpati","limpati","true","100"
"verb","√लुट्","√लुट्","4","parasmaipada","लुट्यति","Revolver","Revolcarse","Wallow","अलुट्यत्","लुट्येत","लुट्यतु","लुलुट्य","लुट्यित्वा","लुट्यितुम्","लुटित","luTyati","luṭyati","luTyati","true","101"
"verb","√लुप्","√लुप्","6","ubhayapada","लुम्पति","Quebrar, cortar, destruir, ferir;","Romper, cortar, destruir, herir;","Break, cut, destroy, wound;","अलुम्पत्","लुम्पेत्","लुम्पतु","लुलोप","लुप्त्वा","लोप्तुम्","लुप्त","lumpati","lumpati","lumpati","true","102"
"verb","√वच्","√वच्","10","ubhayapada","उच्यते","Para ser falado","[Ser] hablado","To be spoken","अउच्यत","उच्येत","उच्यताम्","उवाच्ये","उक्त्वा","वक्तुम्","उक्त","uchyate","ucyate","ucyate","true","103"
"verb","√वद् (pas)","√वद् (pas)","1","parasmaipada","उद्यते","Para ser falado","[Ser] hablado","To be spoken","औद्यत","उद्येत","उद्यताम्","उवदत","उदित्वा","उदितुम्","उदित","udyate","udyate","udyate","true","104"
"verb","√वद्","√वद्","1","parasmaipada","वदति","Para falar","Hablar","To speak","अवदत्","वदेत्","वदतु","उवाद","वदित्वा / उदित्वा","वदितुम्","उदित / वदित","vadati","vadati","vadati","true","105"
"verb","√वन्द्","√वन्द्","1","atmanepada","वन्दते","Para saudar","Saludar","To greet","अवन्दत","वन्देत","वन्देताम्","ववन्दे","वन्दित्वा","वन्दितुम्","वन्दित","vandate","vandate","vandate","true","106"
"verb","√वप् (pas)","√वप् (pas)","1","ubhayapada","उप्यते","Para plantar","Plantar","To plant","औप्यत","उप्येत","उप्यताम्","उवप्ये","उपित्वा","उपितुम्","उप्त","upyate","upyate","upyate","true","107"
"verb","√वप्","√वप्","1","ubhayapada","वपति","Para plantar","Plantar","To plant","अवपत्","वपेत्","वपतु","ववाप","वप्त्वा","वप्तुम्","उप्त","vapati","vapati","vapati","true","108"
