word_type,word_devanagari,grammatical_case,meaning_pt,meaning_es,meaning_en,itrans,iast,harvard_kyoto,is_published,order_index
"indeclinable","एव","","Apenas, só","Incluso, realmente, sólo, solamente, verdaderamente, ciertamente","Just, only","eva","eva","eva","true","28"
"indeclinable","एवम्","","Então","Así","Thus","evam","evam","evam","true","29"
"indeclinable","कतरः","","Qual dos dois","¿Cuál de los dos","Which of two","kataraH","kataraḥ","kataraH","true","30"
"indeclinable","कदापि","","Às vezes","a veces","sometimes","kadApi","kadāpi","kadApi","true","31"
"indeclinable","करे करोमि","","Pego na minha mão","Tomo en mi mano","I take in my hand","kare karomi","kare karomi","kare karomi","true","32"
"indeclinable","किन्तु","","Mas","Pero","But","kintu","kintu","kintu","true","33"
"indeclinable","किम्","","Que?","¿Qué?","What?","kim","kim","kim","true","34"
"indeclinable","कृतम्","+3°c","Suficiente","Suficiente","Enough","kRRitam","kṛtam","kRtam","true","35"
"indeclinable","कृते","+6ºc","Pelo bem de","Por el bien, para el bien de","Fort he sake of","kRRite","kṛte","kRte","true","36"
"indeclinable","क्षणं करोमि","","Aguardo um momento","Espero un momento","I wait one momento","kShaNaM karomi","kṣaṇaṃ karomi","kSaNaM karomi","true","37"
"indeclinable","च","","E","Y (conjunción)","And","cha","ca","ca","true","38"
"indeclinable","चिरम्","","Por um longo tempo","Por mucho tiempo","For a long time","chiram","ciram","ciram","true","39"
"indeclinable","तत्र","","Lá","Allí","There","tatra","tatra","tatra","true","40"
"indeclinable","तूष्णीम्","","Silenciosamente","Silenciosamente","Silently","tUShNIm","tūṣṇīm","tUSNIm","true","41"
"indeclinable","दिवा","","Durante o dia","De día","In day-time","divA","divā","divA","true","42"
"indeclinable","धिक्","+2ºc","que vergonha!","Maldecir sobre Qué lástima, qué vergüenza)","Fie, shame, what a pity","dhik","dhik","dhik","true","43"
"indeclinable","न","","Não","No negación)","Not","na","na","na","true","44"
"indeclinable","न कदापि","","Nunca","Nunca","Never","na kadApi","na kadāpi","na kadApi","true","45"
"indeclinable","नक्तम्","","À noite","De noche","At night","naktam","naktam","naktam","true","46"
"indeclinable","नमः","+4ºc","Saudações","Salutaciones; Alabanzas","Salutations","namaH","namaḥ","namaH","true","47"
"indeclinable","निकषा","+2ºc","Perto","Cerca, “a mano”","Near","nikaShA","nikaṣā","nikaSA","true","48"
"indeclinable","निरपराध","","Inocente","Inocente","Innocent","niraparAdha","niraparādha","niraparAdha","true","49"
"indeclinable","पदं करोमि","+7ºc","Ponho o pé","Pongo un pie","I set foot","padaM karomi","padaṃ karomi","padaM karomi","true","50"
"indeclinable","परतः","6°","Além","Más allá","Beyond","parataH","parataḥ","parataH","true","51"
"indeclinable","परितः","+2ºc","Ao redor","Alrededor","Around","paritaH","paritaḥ","paritaH","true","52"
"indeclinable","पश्चात्","+5ºc / +6ºc","Atrás","Detrás, atrás","Behind","pashchAt","paścāt","pazcAt","true","53"
"indeclinable","पुनः (पुनर्)","","De novo","De nuevo","Again","punaH (punar)","punaḥ (punar)","punaH (punar)","true","54"
"indeclinable","पुनर् पुनः","","De novo e de novo","Una y otra vez","Again and again","punar punaH","punar punaḥ","punar punaH","true","55"
"indeclinable","पुरतः","6°","Na frente de","Delante de","In front of","purataH","purataḥ","purataH","true","56"
"indeclinable","पूर्वम्","5°","Antes","Antes","Before","pUrvam","pūrvam","pUrvam","true","57"
"indeclinable","प्रति","+2ºc","Para, em direção a","Hacia","To, towards","prati","prati","prati","true","58"
"indeclinable","प्रभृति","5°","Desde","Desde","Since","prabhRRiti","prabhṛti","prabhRti","true","59"
"indeclinable","प्राक्","+5ºc","Antes, ao leste","antes, al este de","Before, to the east","prAk","prāk","prAk","true","60"
"indeclinable","प्रात","","De madrugada, cedo","En la madrugada","Early Morning","prAta","prāta","prAta","true","61"
"indeclinable","प्रातर् प्रातः","","Cedo de manhã (madrugada)","En la madrugada, Temprano en la mañana","Early morning","prAtar prAtaH","prātar prātaḥ","prAtar prAtaH","true","62"
"indeclinable","बहिः","+5ºc","Afora","Fuera, afuera","Outside","bahiH","bahiḥ","bahiH","true","63"
"indeclinable","भृशम्","","Muito violento","Con gran violencia","Greatly violently","bhRRisham","bhṛśam","bhRzam","true","64"
"indeclinable","मतिं करोमि","+7ºc","Direciono minha mente para","Vuelvo mi mente a","I turn my mind to","matiM karomi","matiṃ karomi","matiM karomi","true","65"
"indeclinable","मा","","Não","No (negación)","No, not","mA","mā","mA","true","66"
"indeclinable","यथा...तथा","","Como… então","Como... así","As… so","yathA...tathA","yathā...tathā","yathA...tathA","true","67"
"indeclinable","यदि","","Si","Si","If","yadi","yadi","yadi","true","68"
"indeclinable","रहसि","","Em segredo","En secreto","In secret","rahasi","rahasi","rahasi","true","69"
"indeclinable","विना","+2°c, 3°c, 5°c","Sem, exclusivamente","Sin","Without, exclusive","vinA","vinā","vinA","true","70"
"indeclinable","वृथा","","Em vão","En vano","In vain","vRRithA","vṛthā","vRthA","true","71"
"indeclinable","शनैः","","Devagar, lentamente","Lentamente","Slowly","shanaiH","śanaiḥ","zanaiH","true","72"
"indeclinable","शीर्षे करोमि","","Coloco na minha cabeça","Pongo sobre mi cabeza","I place on my head","shIrShe karomi","śīrṣe karomi","zIrSe karomi","true","73"
"indeclinable","श्वः","","Amanhã","Mañana","Tomorrow","shvaH","śvaḥ","zvaH","true","74"
"indeclinable","सकृत्","","Uma vez","una vez","once","sakRRit","sakṛt","sakRt","true","75"
"indeclinable","सदा","","Sempre","Siempre","Always","sadA","sadā","sadA","true","76"
"indeclinable","सपदि","","Imediatamente","De inmediato","At once","sapadi","sapadi","sapadi","true","77"
"indeclinable","समक्षम्","+6ºc","Na presença de","En presencia de","In the presence of","samakSham","samakṣam","samakSam","true","78"
"indeclinable","समम्","+3°c","Com (instrumental)","Con","With","samam","samam","samam","true","79"
"indeclinable","समया","+2ºc","Perto","Cerca","Near","samayA","samayā","samayA","true","80"
"indeclinable","समीपम्","6°","Perto","Cerca","Near","samIpam","samīpam","samIpam","true","81"
"indeclinable","सर्वतः","+2ºc","Em todos lados","En todos lados","On all sides","sarvataH","sarvataḥ","sarvataH","true","82"
"indeclinable","सह","+3ºc","Com, junto com","Junto con; junto","With","saha","saha","saha","true","83"
"indeclinable","सहसा","","Repentinamente, subitamente","De repente","Suddenly","sahasA","sahasā","sahasA","true","84"
"indeclinable","स्वस्ति","+4ºc","Salve! Viva!","Partícula que significa ""que le vaya bien a uno)"" o ""que esté bien con uno); auspiciosidad; bien-estar; ¡Viva!, ¡Salud!, ¡Salve!","Hail!","svasti","svasti","svasti","true","85"
"indeclinable","हि","","Para, de fato","Porque, en verdad, realmente","For, indeed","hi","hi","hi","true","86"
"indeclinable","ह्यः","","Ontem","Ayer","Yesterday","hyaH","hyaḥ","hyaH","true","87"
